# Synthetic Unihan_Readings.txt extracted from hexagram output
# Format: U+XXXX	kMandarin	pinyin
# Format: U+XXXX	kDefinition	definition
U+54C0	kMandarin	āi
U+54C0	kDefinition	sad, mournful, pitiful; pity
U+5B89	kMandarin	ān
U+5B89	kDefinition	peaceful, tranquil, quiet
U+6697	kMandarin	àn
U+6697	kDefinition	dark; obscure; in secret, covert
U+5967	kMandarin	ào
U+5967	kDefinition	mysterious, obscure, profound
U+516B	kMandarin	bā
U+516B	kDefinition	eight; all around, all sides
U+62D4	kMandarin	bá
U+62D4	kDefinition	uproot, pull out
U+628A	kMandarin	bǎ
U+628A	kDefinition	hold, take; guard; regard as
U+7F77	kMandarin	bà
U+7F77	kDefinition	cease, finish, stop; give up
U+767D	kMandarin	bái
U+767D	kDefinition	white; pure, unblemished; bright
U+67CF	kMandarin	bǎi
U+67CF	kDefinition	cypress, cedar
U+767E	kMandarin	bǎi
U+767E	kDefinition	one hundred; numerous, many
U+62DC	kMandarin	bài
U+62DC	kDefinition	do obeisance, bow, kowtow
U+73ED	kMandarin	bān
U+73ED	kDefinition	class, group, grade; squad; job
U+9812	kMandarin	bān
U+9812	kDefinition	confer, bestow; publish, promulgate
U+962A	kMandarin	bǎn
U+962A	kDefinition	hillside farmland; slope
U+90A6	kMandarin	bāng
U+90A6	kDefinition	nation, country, state
U+5305	kMandarin	bāo
U+5305	kDefinition	wrap, pack, bundle; package
U+8584	kMandarin	báo
U+8584	kDefinition	thin, slight, weak; poor, stingy
U+4FDD	kMandarin	bǎo
U+4FDD	kDefinition	protect, safeguard, defend, care
U+5BF6	kMandarin	bǎo
U+5BF6	kDefinition	treasure, jewel; precious, rare
U+66B4	kMandarin	bào
U+66B4	kDefinition	violent, brutal, tyrannical
U+60B2	kMandarin	bēi
U+60B2	kDefinition	sorrow, grief; sorry, sad
U+5317	kMandarin	běi
U+5317	kDefinition	north; northern; northward
U+5099	kMandarin	bèi
U+5099	kDefinition	prepare, ready, perfect
U+80CC	kMandarin	bèi
U+80CC	kDefinition	back; back side; behind; betray
U+8C9D	kMandarin	bèi
U+8C9D	kDefinition	sea shell; money, currency; Kangxi radical 154
U+5954	kMandarin	bēn
U+5954	kDefinition	run fast, flee; rush about; run
U+672C	kMandarin	běn
U+672C	kDefinition	root, origin, source; basis
U+9F3B	kMandarin	bí
U+9F3B	kDefinition	nose; first; Kangxi radical 209
U+59A3	kMandarin	bǐ
U+59A3	kDefinition	one's deceased mother
U+6BD4	kMandarin	bǐ
U+6BD4	kDefinition	to compare, liken; comparison; than; hexagram ䷇
U+5FC5	kMandarin	bì
U+5FC5	kDefinition	surely, most certainly; must
U+655D	kMandarin	bì
U+655D	kDefinition	break, destroy; broken, tattered
U+6583	kMandarin	bì
U+6583	kDefinition	kill; die violent death
U+8CC1	kMandarin	bì
U+8CC1	kDefinition	forge ahead; energetic; surname; hexagram ䷕
U+53D8	kMandarin	biàn
U+53D8	kDefinition	change, transform, alter; rebel
U+8B8A	kMandarin	biàn
U+8B8A	kDefinition	change, transform, alter; rebel
U+8FA9	kMandarin	biàn
U+8FA9	kDefinition	dispute, argue, debate, discuss
U+8FAF	kMandarin	biàn
U+8FAF	kDefinition	dispute, argue, debate, discuss
U+5225	kMandarin	bié
